english,korean
apple,사과
banana,바나나
school,학교
student,학생
teacher,선생님
book,책
pencil,연필
water,물
friend,친구
family,가족
mother,어머니
father,아버지
brother,형제
sister,자매
house,집
room,방
door,문
window,창문
table,탁자
chair,의자
morning,아침
evening,저녁
night,밤
today,오늘
tomorrow,내일
yesterday,어제
week,주
month,달
year,연도
spring,봄
summer,여름
autumn,가을
winter,겨울
weather,날씨
rain,비
snow,눈
wind,바람
cloud,구름
sun,해
moon,달
star,별
happy,행복한
sad,슬픈
angry,화난
beautiful,아름다운
big,큰
small,작은
tall,키가 큰
short,짧은
long,긴
fast,빠른
slow,느린
easy,쉬운
difficult,어려운
important,중요한
interesting,흥미로운
different,다른
same,같은
new,새로운
old,오래된
young,젊은
hungry,배고픈
thirsty,목마른
tired,피곤한
sick,아픈
busy,바쁜
free,자유로운
ready,준비된
eat,먹다
drink,마시다
sleep,자다
walk,걷다
run,달리다
swim,수영하다
sing,노래하다
dance,춤추다
read,읽다
write,쓰다
speak,말하다
listen,듣다
watch,보다
learn,배우다
teach,가르치다
study,공부하다
work,일하다
play,놀다
help,돕다
give,주다
take,가져가다
make,만들다
buy,사다
sell,팔다
open,열다
close,닫다
start,시작하다
finish,끝내다
know,알다
think,생각하다
believe,믿다
remember,기억하다
forget,잊다
love,사랑하다
like,좋아하다
hate,싫어하다
want,원하다
need,필요하다
hope,희망하다
wish,바라다
try,시도하다
find,찾다
lose,잃다
win,이기다
choose,선택하다
answer,대답하다
ask,묻다
happen,일어나다
change,변하다
grow,자라다
move,움직이다
stop,멈추다
wait,기다리다
arrive,도착하다
leave,떠나다
travel,여행하다
visit,방문하다
return,돌아오다
country,나라
city,도시
street,거리
park,공원
hospital,병원
restaurant,식당
store,가게
market,시장
library,도서관
museum,박물관
church,교회
station,역
airport,공항
bridge,다리
garden,정원
mountain,산
river,강
sea,바다
island,섬
forest,숲
animal,동물
dog,개
cat,고양이
bird,새
fish,물고기
flower,꽃
tree,나무
music,음악
picture,그림
game,게임
sport,스포츠
movie,영화
color,색깔
red,빨간
blue,파란
green,초록
yellow,노란
white,하얀
black,검은
number,숫자
half,절반
hundred,백
thousand,천
always,항상
never,절대
often,자주
sometimes,가끔
usually,보통
already,이미
still,아직
again,다시
together,함께
alone,혼자
here,여기
there,저기
everywhere,어디에나
between,사이에
during,동안
without,~없이
about,~에 대해
enough,충분한
possible,가능한
special,특별한
popular,인기 있는
famous,유명한
poor,가난한
rich,부유한
dangerous,위험한
safe,안전한
simple,간단한
true,사실인
wrong,틀린
finally,마침내
suddenly,갑자기
